id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category
g9QI0mMCq4D07jxATL5qRA,34.8186082136741,-118.8824583,$,77,2.0,93243,Lebec,jack-in-the-box-lebec-3,"['hotdogs', 'breakfast_brunch', 'burgers']"
qRsFaV-cukBGL2nlJoktYw,34.8187656562761,-118.883620910347,$$,268,4.0,93243,Lebec,los-pinos-mexican-restaurant-lebec-2,['mexican']
UP21YTmGG5uDMXlPQVpskQ,34.818627936262,-118.884271451049,$,11,3.5,93243,Lebec,subway-restaurants-lebec,['sandwiches']
2zcJfPZ8lDq-HU9n56gBuw,34.8184391872315,-118.885094238284,$,5,3.5,93243,Lebec,quiznos-lebec,"['hotdogs', 'sandwiches']"
uNzapwAHu-WaTtrN41p-UA,34.8183428281035,-118.885658523934,$,42,4.0,93243,Lebec,china-red-house-chinese-restaurant-lebec,['chinese']
NE7-Oa0-zb3FOJ7Z8NYMQw,34.795948,-118.851815,$$,189,4.0,93243,Gorman,ranch-house-restaurant-gorman,['tradamerican']
kn38CcgbwC_6BmhJTt961A,34.7958801803028,-118.851344910308,$,146,3.5,93243,Gorman,el-grullense-gorman,['mexican']
ntt9zaAziqqVttK-yj7pOw,34.795749,-118.850502,$,66,3.5,93243,Gorman,carls-jr-gorman-2,"['hotdogs', 'burgers']"
UpjLkTczeLBrCBNDOkd3nw,34.793962147809,-118.852470077736,$,182,2.0,93243,Gorman,mcdonalds-gorman,"['hotdogs', 'burgers', 'coffee']"
eC6LKNPIDWHFj4KgDZgpJQ,34.23356533,-118.58883683,$$,48,5.0,91304,Canoga Park,uncle-johnnys-burgers-canoga-park,"['foodstands', 'burgers']"
myW4G0FVfeUvXqefR57A6A,34.1831481,-119.1656806,$,68,4.5,93033,Oxnard,its-in-the-sauce-bbq-oxnard,"['bbq', 'catering', 'foodtrucks']"
WiTMRukKmLARoEoKdrV6Qg,34.1463062227897,-118.425396788406,$$,296,4.0,91423,Los Angeles,okamoto-kitchen-los-angeles-2,"['foodtrucks', 'japanese', 'catering']"
nMEh6boQ7v_q03qcFZZ79Q,34.0569114685059,-118.243949890137,$,624,3.5,90012,Los Angeles,white-rabbit-truck-los-angeles-4,"['filipino', 'foodtrucks', 'catering']"
GVt0MwAoQcuM06V_-fHkug,34.0583969,-118.1912081,$,1175,4.5,90063,Los Angeles,the-lobos-truck-los-angeles,"['foodtrucks', 'tradamerican', 'comfortfood']"
JiYslHHmxDRNtjDg_49fmQ,33.7885,-117.97395,$$,178,4.0,92841,Garden Grove,mess-hall-canteen-garden-grove-7,"['foodtrucks', 'sandwiches', 'salad']"
q4mKYHV9JpYbBUQb2ovm8g,34.774118,-118.45739,$,25,4.5,93536,Lancaster,wee-vill-market-lancaster,"['grocery', 'delis']"
UrwutjO7YcI_oDc1lL-nFA,34.82196,-118.16629,$$,59,3.5,93560,Rosamond,diamond-jims-casino-rosamond,"['casinos', 'tradamerican']"
1-fsVlmcMyaBa-AvoJBElg,34.8576670461609,-118.162514045835,$,27,4.0,93560,Rosamond,taqueria-don-pancho-rosamond,"['foodtrucks', 'mexican']"
JVcIwg7ixfXCNXl8gqom3w,34.754911,-118.288958,$$,202,4.5,93536,Lancaster,azteca-mexican-restaurant-lancaster-2,"['seafood', 'mexican', 'bars']"
