category,id,latitude,longitude,price,review_count,rating,zip_code,city,alias
['museums'],,,,,,,,,
['childrensmuseums'],,,,,,,,,
"['mexican', 'sandwiches', 'soup']",vC_6J_nGyf4J8xt-Vu6Shw,34.01744,-118.2783,$$,1190.0,4.5,90007,Los Angeles,chichen-itza-restaurant-los-angeles-3
"['cheesesteaks', 'sandwiches', 'breakfast_brunch']",vfHJzF0ShYtwmotXE-0PiA,34.014196,-118.282417,$$,1076.0,4.5,90037,Los Angeles,figueroa-philly-cheese-steak-los-angeles-2
"['hotdog', 'beerbar']",0z23Jk7U_MpvtqKINPL2fA,34.0282923762355,-118.275208244705,$,1900.0,4.5,90007,Los Angeles,dirt-dog-los-angeles-4
"['latin', 'seafood', 'mexican']",-5TFq3V--bffJGW000YuGQ,34.0171789745852,-118.278350606561,$$,283.0,5.0,90007,Los Angeles,holbox-los-angeles-2
"['museums', 'galleries']",GxoqGOsu23p7co-dTR1X2A,34.0162101142984,-118.287373578712,$,191.0,5.0,90037,Los Angeles,space-shuttle-endeavour-los-angeles
['mexican'],UUlGlPfy0FsReQ2LWWBSWw,34.0097381464074,-118.265285901725,$,429.0,4.5,90011,Los Angeles,tire-shop-taqueria-los-angeles
"['breakfast_brunch', 'newamerican']",BonZ748EKm8pwtVQalFpYQ,34.02876,-118.27517,$$,2019.0,4.0,90007,Los Angeles,jacks-n-joe-los-angeles-8
"['african', 'mexican', 'halal']",_lrLfLy3e2jr-zGigfFW4A,34.02523,-118.29857,$,541.0,4.5,90007,Los Angeles,revolutionario-north-african-tacos-los-angeles
"['ethiopian', 'vegan', 'gluten_free']",00eNYXMKgUV5vMUBBBmXmQ,34.0173639,-118.278314392065,$,379.0,4.5,90007,Los Angeles,azla-los-angeles
['gardens'],,,,,,,,,
"['foodtrucks', 'tacos']",IAzVa3gaOGeIKttZqphD2g,33.9894829,-118.262014,$,682.0,4.0,90011,Los Angeles,teddys-red-tacos-los-angeles
"['latin', 'mexican', 'breakfast_brunch']",ldjkVkY5GO9-XWN9-8mmWw,34.01744,-118.2783,$,178.0,4.5,90007,Los Angeles,mercado-la-paloma-los-angeles
"['coffee', 'cafes']",WQTdQutYp6kdW4ZUT8cMkQ,34.031914,-118.293154,$,243.0,5.0,90007,Los Angeles,ignatius-cafe-los-angeles
"['mexican', 'foodtrucks']",3QRRptCEfjUtnDnZ4jTzMA,34.0039082,-118.2818791,$,132.0,4.0,90037,Los Angeles,tacos-los-carnalillos-taco-truck-los-angeles-2
['hotdogs'],Fs7lKMANuifCyDjF99opRA,34.0166393,-118.2825753,$,416.0,4.0,90007,Los Angeles,chick-fil-a-los-angeles
"['sportsbars', 'tacos', 'venues']",w46a3cQ970NC3v-2Fw7xYw,34.0107222718441,-118.290144279599,$$,267.0,4.0,90037,Los Angeles,banditos-tacos-and-tequila-los-angeles
"['mexican', 'salad', 'breakfast_brunch']",Ckjlcv3mOPnCosSEPb4tmg,34.0249016337977,-118.278697446791,$$,662.0,4.0,90007,Los Angeles,la-taquiza-los-angeles
"['foodtrucks', 'mexican']",ivnX_tNhngBvdepsQFfGIw,33.9891021960076,-118.265354705316,$,204.0,4.5,90011,Los Angeles,tacos-los-poblanos-los-angeles-2
