id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category
IBKcCJfozUg-0IwphlcCqg,33.96203,-118.32783,$,134.0,5.0,90305,Inglewood,mingles-tea-bar-inglewood-2,"['desserts', 'coffee']"
7Q-F_lH7--VlnqaG1v3-6g,33.96341,-118.30862,$,112.0,5.0,90047,Los Angeles,cobblermania-los-angeles,"['desserts', 'streetvendors']"
Sb_hPko42AEdCbX5Nut5hA,33.9743356,-118.3241718,$$,597.0,4.0,90043,Los Angeles,reds-flavor-table-los-angeles,"['cajun', 'breakfast_brunch', 'tradamerican']"
-2j7SP_13FMBGOr4ds_nfQ,33.95968,-118.31648,$$,234.0,4.0,90047,Los Angeles,wings-and-pot-los-angeles,['chicken_wings']
wWQK-wbI_kXULHl6mwW-Zw,33.9606795,-118.3126556,$$,72.0,5.0,90047,Los Angeles,new-orleans-sweet-treats-los-angeles,"['bakeries', 'customcakes']"
iCHau6GTIdBbWU81RCSUoA,33.96025,-118.31948,$,266.0,4.0,90305,Inglewood,cobblers-cakes-and-kream-inglewood,['bakeries']
fUYhn5MnmwkUcAMoC-Sp0A,33.96748,-118.30933,$$,209.0,4.0,90047,Los Angeles,ds-original-take-out-grill-los-angeles-3,"['bbq', 'soulfood', 'seafood']"
h4glJPyXFdI4BGH88otC6g,33.9361126558881,-118.326858356595,$$,195.0,4.0,90303,Inglewood,wings-2-go-inglewood,"['chicken_wings', 'southern', 'asianfusion']"
HTfuanCAZXtnWWQsOlBhSw,33.96035,-118.30807,$,117.0,4.0,90047,Los Angeles,la-valentina-mexican-grill-los-angeles-3,"['tacos', 'seafood', 'karaoke']"
C93pdr3xaq_wU0Zj7LLs3A,33.969372,-118.33121,$$,396.0,3.5,90043,Los Angeles,brothers-bar-b-que-los-angeles,['bbq']
DOnfRmedexuK5XtWdIxz1g,33.9457833,-118.3323668,$,247.0,4.0,90301,Inglewood,in-n-out-burger-inglewood,"['burgers', 'hotdogs']"
yahAYOB9pppCA-2lYok5Wg,33.960302,-118.31099,$,50.0,4.5,90047,Los Angeles,authentic-philly-at-the-corner-los-angeles,"['cheesesteaks', 'salad', 'burgers']"
Bk-csZIKVtMTQTpH6V9gUg,33.95967,-118.30991,$,53.0,4.5,90047,Los Angeles,charlies-famous-fried-chicken-los-angeles,['chickenshop']
rUs4IStrR8d8FnFDqNABfA,33.969506,-118.309089,$$,267.0,3.5,90047,Los Angeles,mdears-bakery-and-bistro-los-angeles,"['soulfood', 'bakeries', 'desserts']"
GPoXEOaMuAXODSzLrr3sBA,33.9603118896484,-118.300643920898,$,89.0,4.0,90047,Los Angeles,louisiana-fried-chicken-los-angeles-6,"['cajun', 'hotdogs']"
RpgMXd-usckXwHZZM3f7Qg,33.93159,-118.29123,$,227.0,4.0,90044,Los Angeles,jim-dandy-fried-chicken-los-angeles,"['southern', 'chickenshop']"
TkpMcQhZ_8Hu3um0m2JVfw,33.96285,-118.30863,$,90.0,4.0,90047,Los Angeles,tumbys-pizza-los-angeles-3,"['pizza', 'italian', 'sandwiches']"
k8nQdoiON-ZyTugHxNP42w,33.93066,-118.33485,$$,512.0,3.5,90303,Inglewood,coniseafood-inglewood,"['mexican', 'seafood']"
g2lHcWeECUgsqQmg7NDAwg,33.94577,-118.32885,$$,118.0,4.0,90303,Inglewood,the-habit-burger-grill-inglewood,"['burgers', 'sandwiches', 'salad']"
