id,latitude,longitude,price,review_count,rating,zip_code,city,alias,categories
6YF3-B5wOet7la7H4CTFAQ,33.70632,-118.29168,$,150,3.0,90731,San Pedro,walkers-cafe-san-pedro,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'divebars', 'title': 'Dive Bars'}]"
9uPPJXD_lxhll_lJkN5mkQ,33.7139625549316,-118.304191589355,$,165,4.5,90731,San Pedro,the-corner-store-san-pedro,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'delis', 'title': 'Delis'}]"
iZ2VkXTvMLNrZg-ztmM_LA,33.708848,-118.2884982,$$,407,4.0,90731,San Pedro,lighthouse-cafe-san-pedro,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
tsyHFmYQrCcd9JsK8Q-R-w,33.709199,-118.288297,$$,375,4.0,90731,San Pedro,pacific-diner-san-pedro,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
6fbPEsv4D33q--d3Hjh_5A,33.7217911,-118.3103589,$$,86,4.0,90732,San Pedro,sonnys-bistro-san-pedro,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
aFdIr743GOoIkUYv1CIrpg,33.7219122,-118.3108584,$$,145,3.5,90732,San Pedro,pinas-mexican-restaurant-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
ZpnPIMwf5W3FgP9Yvz3IKw,33.722673,-118.31035,$,28,2.5,90732,San Pedro,subway-restaurants-san-pedro-2,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
aEKyqJHZGRrNJkKyyvH3TA,33.722215,-118.303611,$$,1289,4.5,90731,San Pedro,busy-bee-market-san-pedro,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
GtCLJeocUfKol4GtPazAew,33.7231827,-118.3123376,$$,394,4.0,90732,San Pedro,sorrentos-restaurant-san-pedro,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
4p3KzElJzyFXtNKb21FS2Q,33.7232534,-118.312254,$,62,4.0,90732,San Pedro,bagels-galore-san-pedro,"[{'alias': 'bagels', 'title': 'Bagels'}]"
cn65-ii_jJdkplnA4SSWGw,33.723164,-118.310816,$$,10,3.0,90732,San Pedro,starbucks-san-pedro-10,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
0fPWgc82FfvA6qd1ukwDrw,33.7232252,-118.3116643,$,359,4.0,90732,San Pedro,prontos-mexican-grill-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
c1yr7Cq8QTI63j_DkYUQlQ,33.723367,-118.312095,$$,65,3.5,90732,San Pedro,starbucks-san-pedro,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
wZh85V7Xg34PAZFdz2jRuw,33.723243,-118.3122657,$,77,4.0,90732,San Pedro,nim-chans-kitchen-san-pedro,"[{'alias': 'chinese', 'title': 'Chinese'}]"
dUuNRYXBxcHwZNgniu16wg,33.7233332878071,-118.313536217524,$$,688,4.0,90732,San Pedro,sirinat-thai-and-sushi-bar-san-pedro,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]"
TCAjTblJySF8YVgb3luIYg,33.7233733249154,-118.314135740437,$,140,3.5,90732,San Pedro,fantastic-cafe-san-pedro,"[{'alias': 'burgers', 'title': 'Burgers'}]"
kO6LSnT2t00iyvULPFCKKg,33.7235049746182,-118.314221996488,$$,169,3.5,90732,San Pedro,chicago-for-ribs-san-pedro,"[{'alias': 'bbq', 'title': 'Barbeque'}]"
x099zSkgRRnY7883mpcjcQ,33.7231134,-118.29924,$,59,4.0,90731,San Pedro,colossus-bread-san-pedro-2,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7IJSvPzWn4IW72J4K8XCnQ,33.723153,-118.299314,$,319,4.5,90731,San Pedro,the-chori-man-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'meats', 'title': 'Meat Shops'}]"
TMlGAoTUF2Rvz20RYBMI7Q,33.7243898556879,-118.315015733242,$,11,3.0,90732,San Pedro,7-eleven-san-pedro-6,"[{'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
yJ1OcCn_j2NwRld6eNQTBQ,33.7235939,-118.2881249,$$,97,3.0,90731,San Pedro,nams-red-door-vietnamese-restaurant-san-pedro,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
