,zip_code,count,review_count,price*review_count,price_1,price_2,price_3,price_4,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5,cluster
0,90001,93,49.483870967741936,63.31807145334721,67,26,0,0,0,0,4,8,9,9,14,20,17,12,18
1,90002,21,27.904761904761905,30.562358276643995,19,2,0,0,0,0,3,4,1,0,1,6,3,3,18
2,90003,71,35.929577464788736,43.01428288038088,60,9,1,1,0,2,7,10,7,7,8,11,10,9,18
3,90004,155,240.98709677419356,368.47704474505724,77,74,4,0,0,0,1,2,12,15,27,57,27,14,6
4,90005,147,358.4829931972789,587.7170160581239,56,88,3,0,0,1,2,5,5,19,26,58,30,1,6
5,90006,221,193.19004524886878,269.2422350074732,137,81,3,0,0,0,8,13,15,19,58,65,35,8,6
6,90007,162,173.98765432098764,237.35352842554488,103,59,0,0,0,1,1,15,12,21,35,42,26,9,18
7,90008,56,101.44642857142857,134.05420918367346,38,18,0,0,0,0,4,6,6,9,10,9,9,3,6
8,90010,143,278.55944055944053,411.02127243385985,78,62,3,0,0,1,1,3,14,15,29,47,29,4,6
9,90011,104,47.0,57.394230769230774,85,17,0,2,0,4,6,8,5,13,14,18,24,12,18
10,90012,320,441.675,698.39859375,155,146,17,2,0,2,1,10,15,32,71,125,49,15,18
11,90013,197,537.6700507614213,925.2291736452884,70,116,7,4,0,0,1,0,2,14,31,84,51,14,18
12,90014,161,267.87577639751555,429.26677211527334,77,75,5,4,0,1,1,4,7,11,30,54,45,8,18
13,90015,219,221.29223744292239,353.66339317362025,107,96,13,3,0,3,2,6,10,32,46,59,47,14,18
14,90016,80,124.4125,164.84656249999998,54,26,0,0,0,0,6,14,7,9,9,23,7,5,6
15,90017,177,362.59322033898303,567.4481470841712,90,76,9,2,0,0,1,7,9,23,52,59,23,3,18
16,90018,50,77.76,96.42240000000001,38,12,0,0,0,0,0,4,6,5,12,15,8,0,6
17,90019,161,235.6086956521739,345.36429921685124,91,65,5,0,1,1,2,6,12,13,31,43,44,8,6
18,90020,206,381.97087378640776,636.0000471297955,80,117,7,2,0,0,4,7,3,16,37,83,51,5,6
19,90021,99,209.82828282828282,326.3995510662177,50,44,4,1,0,0,1,6,3,5,10,34,28,12,18
20,90022,175,88.00571428571429,107.11552653061224,137,38,0,0,0,0,3,18,12,17,27,47,38,13,27
21,90023,119,58.48739495798319,69.79168137843372,98,20,0,1,0,0,6,9,4,19,16,27,23,15,18
22,90024,160,352.1375,561.219140625,72,81,7,0,0,0,0,1,12,34,34,54,18,7,4
23,90025,230,394.26521739130436,654.8231001890359,94,124,8,4,0,0,1,4,13,23,65,91,27,6,4
24,90026,214,324.17289719626166,501.40761201851683,102,107,5,0,0,0,1,5,3,14,40,75,60,16,18
25,90027,199,416.4924623115578,678.1083305977122,79,115,5,0,0,0,2,4,11,16,41,81,38,6,6
26,90028,357,341.04481792717087,586.5588745302043,136,188,30,3,0,1,9,14,28,49,88,107,57,4,6
27,90029,136,271.4264705882353,369.21983131487895,90,44,1,1,0,1,2,8,7,9,23,49,32,5,6
28,90031,63,152.14285714285714,188.3673469387755,48,15,0,0,0,1,1,7,0,5,11,16,18,4,18
29,90032,66,118.95454545454545,140.5826446280992,54,12,0,0,0,0,2,2,2,6,13,18,17,6,1
30,90033,136,119.7720588235294,147.07304282006922,106,29,1,0,0,1,4,12,5,10,20,37,34,13,18
31,90034,129,323.2015503875969,450.9789075175771,83,43,1,2,0,0,1,5,8,13,35,35,27,5,4
32,90035,112,201.69642857142858,347.5661670918368,39,67,4,2,0,0,3,5,10,11,28,31,21,3,6
33,90036,240,444.34583333333336,770.1994444444446,74,156,10,0,0,1,2,7,16,28,56,88,34,8,6
34,90037,65,53.323076923076925,65.62840236686391,51,13,1,0,0,0,9,8,4,6,13,13,7,5,18
35,90038,127,382.9448818897638,660.3537727075454,56,56,9,6,0,0,2,7,11,6,24,47,23,7,6
36,90039,85,421.6470588235294,674.635294117647,37,45,3,0,0,0,0,0,3,10,19,35,16,2,20
37,90040,69,101.84057971014492,132.83553875236294,49,19,1,0,0,0,1,7,12,17,13,8,9,2,27
38,90041,116,296.61206896551727,439.80410225921526,60,56,0,0,0,0,2,7,11,9,19,35,29,4,20
39,90042,129,235.53488372093022,326.82747431043805,81,46,2,0,0,0,3,4,4,9,19,54,28,8,20
40,90043,44,148.6818181818182,195.9896694214876,31,12,1,0,0,0,5,3,3,9,11,10,3,0,25
41,90044,58,35.08620689655172,39.925683709869205,50,8,0,0,0,0,10,5,9,3,12,9,6,4,25
42,90045,295,186.00677966101694,318.4183855214019,99,185,8,3,0,2,13,43,58,53,56,45,19,6,25
