,zip_code,count,price*rating,review_count,price*review_count,price_1,price_2,price_3,price_4,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36
210,91362,36,6.791666666666667,287.97222222222223,503.9513888888889,12,21,3,0,0,0,0,0,4,5,4,13,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,90260,80,4.7125,163.45,210.441875,57,23,0,0,0,0,1,9,6,12,16,13,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,91325,69,4.927536231884058,194.3768115942029,267.6202478470909,43,26,0,0,0,0,2,2,13,6,13,20,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,90042,258,5.445736434108527,234.92635658914728,325.9830839492819,162,92,4,0,0,0,6,8,8,18,38,106,58,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,91501,9,7.944444444444445,161.55555555555554,323.1111111111111,1,7,1,0,0,0,0,0,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,90404,100,5.54,169.93,259.9929,55,39,4,2,0,0,0,2,13,18,25,26,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
152,90810,61,4.147540983606557,67.54098360655738,78.61327600107498,52,8,1,0,0,0,2,4,6,9,12,10,16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,92056,1,8.0,5.0,10.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,90815,109,4.6422018348623855,242.11009174311926,315.4094773167242,76,33,0,0,0,0,1,4,15,18,27,25,16,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,91502,150,6.053333333333334,370.3333333333333,607.3466666666666,58,89,2,1,0,0,0,2,13,24,40,46,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,90746,85,4.194117647058824,156.14117647058825,213.08678200692043,56,27,2,0,0,0,1,15,15,19,15,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,90220,108,3.763888888888889,63.333333333333336,75.06172839506172,89,18,1,0,0,1,13,16,12,19,13,13,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,91350,72,5.375,178.29166666666666,262.4849537037037,38,34,0,0,0,0,2,4,6,10,16,24,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,90020,357,6.525210084033613,418.4341736694678,697.390289449113,136,207,11,3,0,0,4,7,6,24,70,147,90,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,91803,94,4.553191489361702,277.20212765957444,368.6198506111362,65,27,2,0,0,0,1,5,16,13,29,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,92692,1,4.0,189.0,189.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,90021,165,6.2,174.77575757575758,272.22648301193755,83,74,6,2,0,0,2,11,5,7,19,57,44,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,91030,76,5.5855263157894735,294.0131578947368,441.0197368421052,39,36,1,0,0,0,3,0,3,12,21,25,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,90290,7,8.857142857142858,304.14285714285717,651.7346938775511,1,4,2,0,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,90254,90,6.811111111111111,340.1111111111111,600.8629629629629,27,57,6,0,0,0,0,0,2,9,26,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,91402,121,4.016528925619835,97.12396694214875,116.3882248480295,97,24,0,0,0,1,6,13,14,17,22,25,18,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,91006,95,5.378947368421053,225.26315789473685,324.8531855955679,54,40,1,0,0,0,1,6,5,10,23,35,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,90241,150,4.91,278.94,405.3928,82,68,0,0,0,0,9,8,16,22,39,37,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,90301,181,4.856353591160221,183.353591160221,241.09477732669941,124,57,0,0,0,0,4,15,11,15,34,56,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,90017,161,5.975155279503106,397.40372670807454,639.3016473129895,76,74,9,2,0,0,0,5,7,19,48,56,24,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,90601,83,5.506024096385542,229.6867469879518,340.37915517491655,44,38,1,0,0,0,4,5,6,6,16,24,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,90012,608,6.0074013157894735,456.0444078947368,720.8201907678324,292,283,29,4,0,3,2,18,26,60,138,239,92,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,91302,54,6.2407407407407405,255.2037037037037,415.88751714677636,22,30,2,0,0,0,0,2,3,10,11,15,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,90230,182,4.618131868131868,307.8131868131868,409.29006158676486,122,60,0,0,0,0,1,14,18,37,50,38,18,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,90302,90,5.188888888888889,145.9111111111111,207.51802469135802,54,34,2,0,0,0,8,6,8,8,18,18,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
165,91040,45,4.733333333333333,124.4888888888889,163.21876543209876,31,14,0,0,0,1,1,3,6,5,6,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,90222,33,4.106060606060606,48.96969696969697,59.35720844811754,26,7,0,0,0,0,0,3,7,4,3,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,90025,418,6.208133971291866,350.4736842105263,577.6946612943842,176,220,15,7,0,0,2,8,28,44,114,163,48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,90040,138,4.217391304347826,101.57971014492753,132.49527410207938,98,38,2,0,0,0,2,14,24,34,26,16,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,91701,1,7.0,993.0,1986.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,90221,80,3.96875,42.25,46.475,72,8,0,0,0,0,5,6,4,10,19,17,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
262,91770,163,4.610429447852761,206.78527607361963,271.4849636794761,112,51,0,0,0,1,0,12,11,29,47,41,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
