,zip_code,ave_agi,count,latitude,longitude,review_count,price*review_count,price_1,price_2,price_3,price_4,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5,acaibowls,accessories,acupuncture,afghani,african,airportlounges,amusementparks,antiques,appliances,arabian,arcades,argentine,armenian,artmuseums,arts,artsandcrafts,artsupplies,asianfusion,attractionfarms,australian,bagels,bakeries,bangladeshi,banks,barbers,bars,basque,battingcages,bbq,beachequipmentrental,beaches,bedbreakfast,beer_and_wine,beerbar,beergardens,belgian,bikerentals,bikes,biketours,bookstores,bowling,brasseries,brazilian,breakfast_brunch,breweries,brewpubs,british,bubbletea,buffets,burgers,burmese,butcher,cafes,cafeteria,cajun,cakeshop,cambodian,candy,cantonese,caribbean,carwash,casinos,catering,champagne_bars,cheese,cheesesteaks,chicken_wings,chickenshop,chinese,chocolate,cigarbars,clubcrawl,cocktailbars,coffee,coffeeroasteries,colombian,comedyclubs,comfortfood,convenience,conveyorsushi,cookingclasses,cookingschools,countryclubs,creperies,cuban,cupcakes,customcakes,danceclubs,dancestudio,delis,desserts,dimsum,diners,dinnertheater,distilleries,divebars,diyfood,djs,donuts,drivethrubars,drugstores,eatertainment,egyptian,electronics,electronicsrepair,empanadas,ethiopian,eventplanning,eventservices,falafel,farmersmarket,fashion,festivals,filipino,fishnchips,fleamarkets,floraldesigners,florists,flowers,fondue,food,food_court,fooddeliveryservices,foodstands,foodtours,foodtrucks,french,furniture,galleries,gardening,gardens,gastropubs,gaybars,gelato,georgian,german,giftshops,gluten_free,golf,golfequipment,golflessons,gourmet,greek,grocery,gyms,hainan,halal,hawaiian,headshops,healthmarkets,herbalshops,herbsandspices,himalayan,hkcafe,hobbyshops,homedecor,honduran,hookah_bars,horseracing,hotdog,hotdogs,hotels,hotpot,icecream,icedelivery,importedfood,indonesian,indoor_playcenter,indpak,interiordesign,internetcafe,intlgrocery,irish,irish_pubs,italian,izakaya,japacurry,japanese,jazzandblues,jewelry,juicebars,karaoke,kebab,kids_activities,kitchensupplies,kombucha,korean,kosher,landmarks,laotian,latin,lebanese,localflavor,lounges,macarons,magicians,malaysian,markets,masonry_concrete,massage,meats,media,meditationcenters,mediterranean,menscloth,mex,mexican,mideastern,mobilephonerepair,modern_european,mongolian,moroccan,movietheaters,museums,musicians,musicinstrumentservices,musicvenues,newamerican,newmexican,nicaraguan,nightlife,none,nonprofit,noodles,nutritionists,oliveoil,organic_stores,pakistani,panasian,pancakes,parks,partyequipmentrentals,partysupplies,pastashops,paydayloans,persian,personalchefs,peruvian,petadoption,petstore,pettingzoos,pharmacy,piadina,pianobars,pizza,poke,polish,polynesian,poolbilliards,poolhalls,popuprestaurants,popupshops,portuguese,poutineries,pretzels,propane,pubs,puertorican,pumpkinpatches,racingexperience,ramen,raw_food,religiousitems,restaurants,retirement_homes,russian,salad,salvadoran,sandwiches,scandinavian,seafood,seafoodmarkets,servicestations,shanghainese,shavedice,shavedsnow,shoes,shopping,shoppingcenters,sicilian,singaporean,skate_parks,skateshops,skatingrinks,smokehouse,social_clubs,somali,soulfood,soup,southafrican,southern,souvenirs,spanish,spas,speakeasies,specialtyschools,spiritual_shop,sportgoods,sportsbars,sportsteams,sportswear,srilankan,stadiumsarenas,steak,streetvendors,supperclubs,suppliesrestaurant,sushi,swimmingpools,syrian,szechuan,tabletopgames,tacos,taiwanese,tapas,tapasmallplates,tcm,tea,teambuilding,tennis,teppanyaki,tex,thai,theater,themedcafes,tikibars,tobaccoshops,toys,tradamerican,turkish,ukrainian,uzbek,vapeshops,vegan,vegetarian,venezuelan,venues,veteransorganizations,vietnamese,vintage,vitaminssupplements,waffles,waterdelivery,waterstores,wedding_planning,whiskeybars,wholesale_stores,wholesalers,wine_bars,wineries,winetasteclasses,winetastingroom,womenscloth,wraps,yoga
0,90001,25.152932760000063,93,33.9766026129582,-118.24876332152526,49.483870967741936,63.31807145334721,67,26,0,0,0,0,4,8,9,9,14,20,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,90002,24.41049578000001,21,33.954425530261474,-118.24543090028699,27.904761904761905,30.562358276643995,19,2,0,0,0,0,3,4,1,0,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90003,23.40462185000001,71,33.97270251995593,-118.27129723907514,35.929577464788736,43.01428288038088,60,9,1,1,0,2,7,10,7,7,8,11,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,90004,59.12894736999993,155,34.07517634776928,-118.30568045428274,240.98709677419356,368.47704474505724,77,74,4,0,0,0,1,2,12,15,27,57,27,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,3,3,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,3,0,0,1,0,0,0,0,0,0,2,0,1,0,3,1,2,1,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,3,0,0,0,0,2,0,0,1,0,0,3,0,0,2,0,0,2,0,0,0,0,0,3,1,0,0,2,0,1,1,0,0,0,1,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,2,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,90005,45.82112767000009,147,34.059249198424034,-118.30077590227178,358.4829931972789,587.7170160581239,56,88,3,0,0,1,2,5,5,19,26,58,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,0,1,0,0,0,0,0,0,3,2,0,1,0,0,2,1,1,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,90006,24.901900130000026,221,34.04949157944659,-118.29551006598652,193.19004524886878,269.2422350074732,137,81,3,0,0,0,8,13,15,19,58,65,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,3,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,3,3,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,3,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,90007,26.625021350000097,162,34.02734120459679,-118.2839170904182,173.98765432098764,237.35352842554488,103,59,0,0,0,1,1,15,12,21,35,42,26,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,1,0,0,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,2,1,0,2,3,0,0,3,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,90008,45.00584636,56,34.010528972508354,-118.33375477738251,101.44642857142857,134.05420918367346,38,18,0,0,0,0,4,6,6,9,10,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,90010,142.23212670000035,143,34.06171953456239,-118.3042310289349,278.55944055944053,411.02127243385985,78,62,3,0,0,1,1,3,14,15,29,47,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,3,0,0,2,2,1,1,0,0,0,1,0,0,1,0,0,1,3,1,1,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,0,0,0,2,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,2,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
9,90011,23.39053721999999,104,34.00841991383048,-118.2595116010467,47.0,57.394230769230774,85,17,0,2,0,4,6,8,5,13,14,18,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
