alias,category,city,id,latitude,longitude,price,rating,review_count,zip_code,med_agi,avg_agi,count
lucilles-smokehouse-bar-b-que-brea,"['bbq', 'smokehouse', 'southern']",Brea,zzvkb4J_sQAk8N20OWdZhg,33.91115379,-117.8812592,2,3.5,1257.0,92821.0,86070,106163,170
subway-restaurants-brea-4,['sandwiches'],Brea,zWs68lBY2PyNOTRJhxXapg,33.911959,-117.867374,1,3.0,22.0,92821.0,86070,106163,170
nekter-juice-bar-brea,"['juicebars', 'acaibowls', 'icecream']",Brea,zOYNwoDjpg6Ehwn0RKX9qA,33.91128344,-117.8674491,2,3.5,367.0,92821.0,86070,106163,170
arbys-brea-2,"['sandwiches', 'hotdogs']",Brea,zNNLl821AlzApHYqRxNALw,33.9114312,-117.8659407,1,2.5,84.0,92821.0,86070,106163,170
portofino-trattoria-brea,['italian'],Brea,zJ4pvxtpo3Y5LvylLXmCzA,33.93285973,-117.9162527,2,4.0,231.0,92821.0,86070,106163,170
baja-fish-tacos-brea,['mexican'],Brea,zCk1-oPHkkfIkeB6kQGMeQ,33.91028,-117.869065,2,4.0,79.0,92821.0,86070,106163,170
famous-burgers-brea,"['burgers', 'hotdogs']",Brea,yw87ppqt0EzoMYhfg1_yEQ,33.91774,-117.92103,1,3.0,74.0,92821.0,86070,106163,170
red-lantern-brea,['chinese'],Brea,yTASNoPCv8cdaGpAkHx64A,33.9307,-117.89347,2,4.0,254.0,92821.0,86070,106163,170
7-eleven-brea,"['convenience', 'coffee']",Brea,xF7phu7xUICnIMzEBJBSfg,33.93252063,-117.8989273,1,1.5,14.0,92821.0,86070,106163,170
buca-di-beppo-brea-5,['italian'],Brea,x3gkYkCZUKycS17rjwQReg,33.91197533,-117.8827858,2,3.5,1104.0,92821.0,86070,106163,170
poki-monster-brea-2,"['poke', 'salad']",Brea,x21VsOFGovswEhoBIXOfaw,33.9250049,-117.8961275,1,4.0,365.0,92821.0,86070,106163,170
7-eleven-brea-3,"['convenience', 'coffee']",Brea,wgoj0mTSzaBc_NGqLBWYxw,33.91699916,-117.9152747,1,3.0,7.0,92821.0,86070,106163,170
dominos-pizza-brea,"['pizza', 'chicken_wings', 'sandwiches']",Brea,wV5ww6HmGg3G8DiJupxoeQ,33.93216893,-117.8940933,1,3.0,57.0,92821.0,86070,106163,170
lazy-dog-restaurant-and-bar-brea,"['newamerican', 'comfortfood', 'burgers']",Brea,wV-IbKyvik396a4btTxb4A,33.911719,-117.885624,2,4.0,1402.0,92821.0,86070,106163,170
kabuki-japanese-restaurant-brea,"['sushi', 'japanese', 'asianfusion']",Brea,w8QJYbZH8sMdQMVM5gYQTw,33.919055,-117.8851255,2,3.5,678.0,92821.0,86070,106163,170
johns-place-brea,['tradamerican'],Brea,vrfYh8z5-dOhsjGqy7UiaA,33.932224,-117.915985,1,3.5,197.0,92821.0,86070,106163,170
macallans-public-house-brea,"['irish_pubs', 'tradamerican', 'breakfast_brunch']",Brea,vAjtFwhLOsBXNDkAH5G1Sw,33.9190194,-117.90171,2,4.0,857.0,92821.0,86070,106163,170
country-kwik-market-liquor-and-deli-brea,"['beer_and_wine', 'delis', 'sandwiches']",Brea,uZ6YNVf8DVKOQVHxLS_n-Q,33.91851093,-117.8650333,3,3.5,21.0,92821.0,86070,106163,170
crepes-de-paris-brea,['creperies'],Brea,tvJkHAyZ6QtqtlPi8j_9YQ,33.91920853,-117.9012146,1,4.0,605.0,92821.0,86070,106163,170
gyu-kaku-japanese-bbq-brea,"['japanese', 'bbq', 'asianfusion']",Brea,tQGn-skSavfmYgwD_lRsOQ,33.919675,-117.898382,2,3.5,778.0,92821.0,86070,106163,170
greens-n-things-brea,"['salad', 'breakfast_brunch', 'beer_and_wine']",Brea,t48M0IQSlTEgpdmDlqC6hA,33.917974900000004,-117.8859149,2,4.0,147.0,92821.0,86070,106163,170
creamistry-brea,['icecream'],Brea,slalhTcmGuGorkN4Nng-AQ,33.9109549,-117.8811749,2,3.0,285.0,92821.0,86070,106163,170
mothers-market-and-kitchen-brea-2,"['grocery', 'delis', 'juicebars']",Brea,sf54syXSV7pqbvHFUqr4nw,33.91254125,-117.8804778,2,4.0,416.0,92821.0,86070,106163,170
rubios-coastal-grill-brea,"['mexican', 'seafood', 'salad']",Brea,sYvwQ96sn93pEf4inFQJ_g,33.9178849,-117.8890528,2,3.5,152.0,92821.0,86070,106163,170
mcdonalds-brea-2,"['burgers', 'hotdogs', 'coffee']",Brea,sDcPd26vrfKMxHw6W5TUFw,33.913958,-117.892674,1,2.5,183.0,92821.0,86070,106163,170
l-and-l-hawaiian-barbecue-brea,"['hawaiian', 'bbq']",Brea,rdN87IEVZrmOLyWzGfF9IA,33.91210588,-117.8673205,1,3.5,176.0,92821.0,86070,106163,170
oasis-mediterranean-cuisine-brea,"['mediterranean', 'greek', 'kebab']",Brea,rcRppjEYh9fJgO8e69LYBQ,33.92371303,-117.8954363,2,4.0,464.0,92821.0,86070,106163,170
de-oro-la-puerta-brea,"['mexican', 'seafood', 'breakfast_brunch']",Brea,rFvuCQJ45hZOiKUofjRxXw,33.91874931,-117.8649603,2,4.5,412.0,92821.0,86070,106163,170
chop-stop-brea,['salad'],Brea,r5NG6uGsEnrlMnAdZ5Wg8Q,33.911406,-117.867646,2,4.0,48.0,92821.0,86070,106163,170
cocos-bakery-restaurant-brea-2,"['tradamerican', 'bakeries', 'breakfast_brunch']",Brea,r2QMBImLSMorU5AVFDJfLw,33.91096798,-117.8869722,2,3.0,181.0,92821.0,86070,106163,170
7-eleven-brea-2,"['convenience', 'coffee']",Brea,q4XRyX-V9pzBSUcm83r7Yw,33.92530997,-117.8965288,1,2.5,11.0,92821.0,86070,106163,170
7-eleven-brea-4,"['convenience', 'coffee']",Brea,pw2UjThIGS7ags2-R2A_bQ,33.90879,-117.851798,1,3.0,10.0,92821.0,86070,106163,170
gengis-khan-brea,"['mongolian', 'bbq']",Brea,po3XssqLPOpDEyc1OmEygw,33.91603935,-117.8859874,1,3.5,193.0,92821.0,86070,106163,170
baskin-robbins-brea-2,"['icecream', 'desserts', 'customcakes']",Brea,peR0tg-2IPzS9qyvvHDKjg,33.9172118,-117.9015588,1,3.0,53.0,92821.0,86070,106163,170
shady-nook-brea,"['sportsbars', 'karaoke', 'divebars']",Brea,pOsuEYkh8vzi5yjSxvW3Ag,33.91899514,-117.8647898,1,4.0,80.0,92821.0,86070,106163,170
taco-bell-brea,"['mexican', 'hotdogs']",Brea,oya65oz88-a6zLBppg3aGQ,33.91768442,-117.9024962,1,2.5,75.0,92821.0,86070,106163,170
pizza-hut-brea-4,"['pizza', 'italian', 'chicken_wings']",Brea,oTP35tEG5_7dRKXhVdkNpg,33.917657,-117.90752,1,2.5,57.0,92821.0,86070,106163,170
breas-best-burgers-brea,"['burgers', 'breakfast_brunch', 'sandwiches']",Brea,oLWouB5Dh4K7kEV8Pd82gg,33.9097,-117.90437,1,4.0,580.0,92821.0,86070,106163,170
olive-garden-italian-restaurant-brea-2,"['italian', 'salad', 'soup']",Brea,oIzaFzUVzPNrlx9an4Ft0Q,33.91707762,-117.8831795,2,3.5,453.0,92821.0,86070,106163,170
mcdonalds-brea,"['hotdogs', 'burgers', 'coffee']",Brea,o7EqDcxg0jpMNuiY9UKaQg,33.911396,-117.866642,1,2.0,122.0,92821.0,86070,106163,170
pizza-corner-brea,['pizza'],Brea,nk4XBtOjQ2n-L-fiSPd4_w,33.912040000000005,-117.90218,1,3.5,111.0,92821.0,86070,106163,170
subway-restaurants-brea-2,['sandwiches'],Brea,nfU3OVxDLMcOm9KeD2FzUA,33.930838,-117.894453,1,3.0,24.0,92821.0,86070,106163,170
express-wok-brea,['chinese'],Brea,lrpgEpPS5yD7HCvPN_6QXA,33.93191881,-117.9168975,1,3.5,32.0,92821.0,86070,106163,170
panda-express-brea-2,"['chinese', 'hotdogs']",Brea,lRWd0kxkBEICXG7whNHgcw,33.91720474,-117.9011558,1,3.0,106.0,92821.0,86070,106163,170
el-torito-grill-brea-3,"['mexican', 'bars', 'breakfast_brunch']",Brea,kWVLzkZhzOQE6P8xIgvvJg,33.926018,-117.877701,2,4.0,878.0,92821.0,86070,106163,170
brueggers-bagels-brea-2,"['bagels', 'breakfast_brunch', 'sandwiches']",Brea,kGulp9xYgy2Q5pENSlaAvw,33.91139626,-117.867549,1,3.5,185.0,92821.0,86070,106163,170
islands-cigar-lounge-brea,"['tobaccoshops', 'lounges']",Brea,jeOPOrVQe9ivi1ttWjV-qg,33.93257,-117.89419,2,5.0,143.0,92821.0,86070,106163,170
