,alias,category,city,id,latitude,longitude,price,rating,review_count,zip_code
0,重庆特色小面-chongqing-special-noodles-san-gabriel-3,"['noodles', 'chinese']",San Gabriel,mm6l24khOfXhKqn4pKVojA,34.10307,-118.09183999999999,1,4.0,204.0,91776
1,重庆小面-best-noodle-house-rosemead-3,"['noodles', 'szechuan']",Rosemead,DgXxBgUEvARu45x7RSgYRw,34.0811818501246,-118.066225782915,1,4.0,141.0,91770
2,眞-jin-cook-authentic-korean-soul-food-glendale,['korean'],Glendale,C5s9a_prs6TbH510Bt_sqQ,34.15036417,-118.25460233,2,4.5,64.0,91203
3,新湘好-xiang-cuisine-monterey-park,['chinese'],Monterey Park,5FzLCjOW6mqjlQE-wNsjQg,34.0637191059651,-118.134591204897,2,4.5,113.0,91754
4,いざかや-おせん-izakaya-osen-los-angeles,"['sushi', 'izakaya', 'seafood']",Los Angeles,us0WnDOySVXXXwCqs0AaCw,34.08319167,-118.27324499999999,2,4.5,656.0,90026
5,ô-banh-mi-los-angeles,"['vietnamese', 'sandwiches', 'coffee']",Los Angeles,XRbyfQZ7nWwJCOjRC8EW-g,34.09845,-118.2751,1,4.0,111.0,90027
6,élephante-santa-monica-2,"['lounges', 'italian']",Santa Monica,ayFZZuq5B6Lz4Aq1xH40Zw,34.015229999999995,-118.49798999999999,4,3.5,693.0,90401
7,à-la-waffle-los-alamitos-7,"['waffles', 'desserts', 'shavedice']",Los Alamitos,h-tm0H9tUWxcP-0cCJvkYg,33.80426,-118.07246,1,4.5,322.0,90720
8,à-la-minute-claremont-2,['icecream'],Claremont,FpzAucPz6Nl-4Q1P0t82Bw,34.0947051402958,-117.721304207472,2,4.5,248.0,91711
9,à-bloc-los-angeles,"['coffee', 'sandwiches', 'breakfast_brunch']",Los Angeles,fRDvAW7nE0-21QzqxTeC8w,34.12157,-118.20586000000002,1,5.0,76.0,90042
10,zzamong-los-angeles,"['korean', 'chinese', 'noodles']",Los Angeles,gWM5n5Tyo5h74t-_lp1WUA,34.069114899999995,-118.3073944,1,4.0,867.0,90004
11,zweet-cafe-los-angeles,"['coffee', 'cafes', 'breakfast_brunch']",Los Angeles,9yB5H8MwuQ3MBMlq5EOoFw,34.129740000000005,-118.21645,1,4.5,484.0,90041
12,zuzu-chicken-glendora,"['greek', 'mediterranean']",Glendora,6gtrvTr2yH__EEx8SZPv1w,34.1286651,-117.83082759999998,1,4.0,351.0,91741
